"vst.mean"	"vst.variance"	"vst.variance.expected"	"vst.variance.standardized"	"vst.variable"
"3667"	0.976	1.34877277277278	1.93926609067822	0.695506810156753	0
"3356"	0.966	1.28813213213214	1.88354513889431	0.683887051885736	0
"4344"	0.948	1.15445045045045	1.76427821908298	0.654347164729212	0
"3155"	0.96	1.31571571571572	1.8571338651215	0.70846573875257	0
"3779"	0.945	1.23721221221221	1.73086102987915	0.714795810209322	0
"4598"	0.955	1.27024524524525	1.82385134234452	0.696463146833216	0
"4670"	0.985	1.42219719719719	2.02931960586645	0.700824647377306	0
"2552"	0.992	1.39332932932932	2.11484699445046	0.658832214805862	0
"3644"	0.954	1.14302702702703	1.81594845575885	0.629438034654666	0
"4356"	0.949	1.23763663663664	1.77398404251538	0.697659396575947	0
"3631"	0.959	1.37269169169168	1.85170968379907	0.741310424469671	0
"4168"	0.975	1.37775275275276	1.93138082714942	0.713351159639614	0
"2550"	1.011	1.6184974974975	2.35516163453338	0.68721291726466	0
"3712"	0.989	1.30818718718719	2.07665749535328	0.629948458094018	0
"4609"	0.99	1.59349349349349	2.08926419145137	0.762705597508242	0
"4695"	0.992	1.48341941941941	2.11484699445046	0.701431083814586	0
"3274"	0.96	1.23763763763764	1.8571338651215	0.66642349314796	0
"4565"	0.998	1.51551151151151	2.18973917563383	0.692096816084428	0
"3173"	0.944	1.28214614614615	1.72228273459438	0.74444579881834	0
"4537"	0.973	1.29356456456456	1.91934124611732	0.673962781335183	0
"3033"	0.982	1.44512112112112	1.99716265620782	0.72358709323411	0
"3663"	0.961	1.37685585585586	1.86203780084768	0.739434964869699	0
"4824"	0.983	1.53624724724724	2.00770390222144	0.765176202301275	0
"4496"	0.974	1.3746986986987	1.9248735544064	0.714176105517031	0
"3046"	0.942	1.32796396396397	1.70410842298715	0.779271991177745	0
"3338"	0.991	1.40632532532533	2.10202127835048	0.669034771345847	0
"4806"	0.932	1.18055655655656	1.67368154598259	0.705365103289987	0
"3247"	0.963	1.2769079079079	1.87083063224787	0.682535279195029	0
