"orig.ident"	"nCount_RNA"	"nFeature_RNA"	"phenoid"	"RNA_snn_res.2"	"seurat_clusters"	"ident"	"sizeFactor"	"TSNE_1"	"TSNE_2"
"cell_190"	1	28447	3120	3	32	10	10	1.7179497928604	1.78472174449934	-0.373471873394828
"cell_191"	1	14702	2316	3	30	8	8	0.906554017713662	-3.30448096473343	1.05262801828051
"cell_192"	1	9701	1893	3	13	3	3	0.599512168231686	3.54856192331839	-1.41071477854759
"cell_193"	1	28145	3136	3	1	1	1	1.68791741550967	0.526345979325679	-3.79300130018911
"cell_194"	1	14587	2400	3	2	2	2	0.898017365727782	-2.11166815584861	2.02497788816574
"cell_195"	1	21207	2808	3	24	4	4	1.30295119739088	0.539120807467322	-1.2651660989968
"cell_196"	1	19247	2729	3	27	5	5	1.24972266369991	1.88487985606226	-3.51915609672549
"cell_197"	1	13599	2280	3	5	13	13	0.848309820791873	1.83646631916027	-0.224700095949196
"cell_198"	1	9837	1902	3	2	2	2	0.593156272852539	2.33058274082054	-3.02837093884307
"cell_199"	1	25704	2944	3	32	10	10	1.56487921186076	-0.246082622505573	1.1596547618835
"cell_200"	1	16214	2431	3	11	19	19	0.9822777660402	-1.19553065152607	0.901399886689455
"cell_201"	1	19623	2681	3	7	15	15	1.19833752866528	1.66343831301486	1.33225222380017
"cell_202"	1	4937	1207	3	12	20	20	0.328195959390637	4.15919479132803	2.11265561582534
"cell_203"	1	16921	2541	3	7	15	15	1.09316784754406	2.13300083339549	-0.757364003093137
"cell_204"	1	17852	2515	3	30	8	8	1.0583130935013	-3.56185795801737	-0.528695296536464
"cell_205"	1	22191	2909	3	13	3	3	1.41203642832166	-0.155326025292568	0.224056915351907
"cell_206"	1	24264	2929	3	28	6	6	1.50707393647989	1.85120612147324	-2.22024462621258
"cell_207"	1	24224	2934	3	5	13	13	1.52746658859738	1.17021946912446	-0.495759117376388
"cell_208"	1	15682	2423	3	14	21	21	0.970504880918256	0.208218239598594	-1.45026312720913
"cell_209"	1	20243	2731	3	9	17	17	1.23421433149672	3.04278602182229	-2.74240207747929
"cell_210"	1	12912	2184	3	27	5	5	0.771451160656795	-2.20815628996606	3.08055645478695
"cell_211"	1	23029	2903	3	12	20	20	1.40775994761115	2.09945358883185	-2.60638530784982
"cell_212"	1	5925	1306	3	29	7	7	0.34843859719311	-4.19604790553678	2.0959659637818
"cell_213"	1	14087	2335	3	6	14	14	0.865189900408384	0.912785898013768	-0.796201468821698
"cell_214"	1	7390	1661	3	8	16	16	0.465989286991425	0.175051006787398	-4.31845094509
"cell_215"	1	12668	2219	3	1	1	1	0.776857967091907	3.32965865367022	0.951365778780107
"cell_216"	1	11340	2057	3	28	6	6	0.704749814635036	1.14835538448765	-1.42753273889617
"cell_217"	1	27215	3010	3	14	21	21	1.66499916270632	0.348087162637611	3.64784494085141
"cell_218"	1	20445	2705	3	9	17	17	1.21165138020016	-2.28461986825319	-0.44264046539798
"cell_219"	1	9271	1880	3	30	8	8	0.587110885762434	3.89706920118777	1.34351398616409
"cell_220"	1	13743	2274	3	13	3	3	0.917300990332864	1.82321912204557	1.54303015665036
"cell_221"	1	9718	1897	3	27	5	5	0.61533851095183	-0.505927031518166	-1.82868425010944
"cell_222"	1	29049	3146	3	2	2	2	1.82040292054797	1.92286403985514	-1.19060586734827
"cell_223"	1	22354	2925	3	17	24	24	1.44735762734875	-0.15808116615981	0.510700534617144
"cell_224"	1	15269	2365	3	2	2	2	0.904850187596496	3.13018697741817	3.46492536440068
"cell_225"	1	18906	2683	3	12	20	20	1.11393176656836	-0.377549637718944	-0.455990164660661
"cell_226"	1	11379	2020	3	16	23	23	0.664266028173463	-4.47972806387748	-0.454947011180649
"cell_227"	1	10712	2052	3	31	9	9	0.686069150210408	4.30495915012218	0.855017915100711
"cell_228"	1	19516	2749	3	10	18	18	1.19391081433464	0.34987101994483	-1.89317231306842
"cell_229"	1	19517	2732	3	27	5	5	1.20143821002394	-0.519825363303501	2.14560444869667
"cell_230"	1	19544	2718	3	29	7	7	1.24162318826893	0.940391796050739	-1.81369779792465
"cell_231"	1	26898	2974	3	29	7	7	1.57976071189494	0.0402136252378754	1.56623060568938
"cell_232"	1	13103	2202	3	24	4	4	0.828901005189249	-1.99873363969996	0.551587224469154
"cell_233"	1	20623	2783	3	28	6	6	1.24924967960181	0.871405489374812	-1.52844115322895
"cell_234"	1	13160	2248	3	3	11	11	0.837512093046775	-0.509688021186443	-4.77931615417064
"cell_235"	1	4331	1096	3	8	16	16	0.271516721047807	4.08187994837448	0.397379143303087
"cell_236"	1	10117	1909	3	13	3	3	0.630045394022812	2.01695596692501	3.32504218594815
"cell_237"	1	8630	1772	3	2	2	2	0.528519247438546	2.30742781124702	-2.75785153116209
"cell_238"	1	7786	1673	3	6	14	14	0.508981642270803	-1.6317993005921	-0.813512191826662
"cell_239"	1	11012	1989	3	4	12	12	0.67708020727711	-0.115760855759072	3.22863702939876
"cell_240"	1	14367	2356	3	28	6	6	0.904099310222337	0.50556420370727	-1.66454848712366
"cell_241"	1	19767	2699	3	28	6	6	1.19988428180715	2.68426122625125	-0.819900095826838
"cell_242"	1	18339	2613	3	11	19	19	1.15472365838909	-1.08653384882293	0.56699096976044
"cell_243"	1	13842	2364	3	3	11	11	0.888942226163941	4.08827602886279	3.11608643874576
